"subject","code","link"
"Latin","LAT","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/LAT.xml""subject","code","link"
"Law","LAW","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/LAW.xml""subject","code","link"
"Labor and Employment Relations","LER","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/LER.xml""subject","code","link"
"Linguistics","LING","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/LING.xml""subject","code","link"
"Latina/Latino Studies","LLS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/LLS.xml""subject","code","link"
"Media and Cinema Studies","MACS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MACS.xml""subject","code","link"
"Mathematics","MATH","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MATH.xml""subject","code","link"
"Regular MBA Program Administration","MBA","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MBA.xml""subject","code","link"
"Molecular and Cell Biology","MCB","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MCB.xml""subject","code","link"
"Media","MDIA","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MDIA.xml""subject","code","link"
"Medieval Studies","MDVL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MDVL.xml""subject","code","link"
"Mechanical Engineering","ME","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ME.xml""subject","code","link"
"Microbiology","MICR","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MICR.xml""subject","code","link"
"Military Science","MILS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MILS.xml""subject","code","link"
"Molecular and Integrative Physiology","MIP","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MIP.xml""subject","code","link"
"Materials Science and Engineering","MSE","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MSE.xml""subject","code","link"
"Music","MUS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MUS.xml""subject","code","link"
"Museum Studies","MUSE","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/MUSE.xml""subject","code","link"
"Neuroscience","NEUR","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/NEUR.xml""subject","code","link"
"Nuclear, Plasma, and Radiological Engineering","NPRE","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/NPRE.xml""subject","code","link"
"Natural Resources and Environmental Sciences","NRES","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/NRES.xml""subject","code","link"
"Naval Science","NS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/NS.xml""subject","code","link"
"Nutritional Sciences","NUTR","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/NUTR.xml""subject","code","link"
"Pathobiology","PATH","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/PATH.xml""subject","code","link"
"Plant Biology","PBIO","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/PBIO.xml""subject","code","link"
"Persian","PERS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/PERS.xml""subject","code","link"
"Philosophy","PHIL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/PHIL.xml""subject","code","link"
"Physics","PHYS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/PHYS.xml""subject","code","link"
"Plant Pathology","PLPA","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/PLPA.xml""subject","code","link"
"Polish","POL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/POL.xml""subject","code","link"
"Portuguese","PORT","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/PORT.xml""subject","code","link"
"Political Science","PS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/PS.xml""subject","code","link"
"Professional Science Master's Program","PSM","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/PSM.xml""subject","code","link"
"Psychology","PSYC","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/PSYC.xml""subject","code","link"
"Russian, East European and Eurasian Studies","REES","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/REES.xml""subject","code","link"
"Rehabilitation Counseling","REHB","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/REHB.xml""subject","code","link"
"Religion","REL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/REL.xml""subject","code","link"
"Rhetoric and Composition","RHET","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/RHET.xml""subject","code","link"
"Romance Linguistics","RMLG","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/RMLG.xml""subject","code","link"
"Recreation, Sport, and Tourism","RST","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/RST.xml""subject","code","link"
"Russian","RUSS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/RUSS.xml""subject","code","link"
"South Asian and Middle Eastern Studies","SAME","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/SAME.xml""subject","code","link"
"Strategic Brand Communication","SBC","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/SBC.xml""subject","code","link"
"Scandinavian","SCAN","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/SCAN.xml""subject","code","link"
"Systems Engineering and Design","SE","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/SE.xml""subject","code","link"
"Speech and Hearing Science","SHS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/SHS.xml""subject","code","link"
"Slavic","SLAV","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/SLAV.xml""subject","code","link"
